All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer]
09/11/2020,HYB Holding Corp.,-,Merger/Acquisition,Closed, 0.248 ,-,-,IQTR688285506,Blank Checks,Acquired
12/06/2018,"One World Pharma, Inc.",-,Merger/Acquisition,Closed, 0.35 ,"One World Pharma, Inc. (OTCPK:OWPC)",-,IQTR594043931,Blank Checks (Primary),Acquired
11/05/2018,Anchor Capital Corporation,-,Merger/Acquisition,Closed, 0.034 ,-,-,IQTR590298598,Blank Checks (Primary),Acquired
07/18/2018,China Foods Holdings Ltd.,-,Merger/Acquisition,Closed, 0.41 ,"HY (HK) Financial Investments Co., Ltd",-,IQTR574500401,Blank Checks (Primary),Acquired
06/26/2018,Academy Explorations Limited,-,Merger/Acquisition,Closed, 0.301 ,-,Estate Of Rae Appleby,IQTR572029256,Blank Checks (Primary),Acquired
04/21/2017,"American Retail Group, Inc.",-,Merger/Acquisition,Closed, 0.3 ,-,-,IQTR428939064,Blank Checks (Primary),Acquired
02/28/2017,Huale Acoustics Limited,-,Merger/Acquisition,Closed, 0.315 ,-,-,IQTR421943180,Blank Checks (Primary),Acquired
06/09/2016,Verdant Financial Partners I Inc.,-,Merger/Acquisition,Closed, 0.02 ,-,Verdant Financial Partners Corporation,IQTR347304036,Blank Checks (Primary),Acquired
01/12/2016,"One World Pharma, Inc.",-,Merger/Acquisition,Closed, 0.255 ,-,-,IQTR321980219,Blank Checks (Primary),Acquired
10/02/2015,Verdant Financial Partners I Inc.,-,Merger/Acquisition,Closed, 0.052 ,-,Verdant Financial Partners Corporation; The Puritt Family Trust; Falcon Corporation,IQTR312824195,Blank Checks (Primary),Acquired
09/22/2015,"Dongxing International, Inc.",-,Merger/Acquisition,Closed, 0.02 ,-,"OZ SafeRooms Technologies, Inc.",IQTR311919392,Blank Checks (Primary),Acquired
07/01/2015,Andes 6 Inc.,-,Merger/Acquisition,Closed, 0.04 ,-,-,IQTR305708039,Blank Checks (Primary),Acquired
03/30/2015,Omni Commerce Corp.,-,Merger/Acquisition,Closed, 0.247 ,-,-,IQTR289952005,Blank Checks (Primary),Acquired
03/05/2015,Kiwoom No. 2 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed, 0.406 ,"Shinhan Investment Corp., Investment Arm","Kiwoom Investment Co., Ltd.",IQTR288393198,Blank Checks (Primary),Acquired
11/19/2014,KB No.4 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed, 0.18 ,"Shinhan Investment Corp., Investment Arm","KB Investment & Securities Co., Ltd., Investment Arm",IQTR280498725,Blank Checks (Primary),Acquired
07/29/2014,Cantabio Pharmaceuticals Inc.,-,Merger/Acquisition,Closed, 0.075 ,-,-,IQTR269347276,Blank Checks (Primary),Acquired
05/27/2013,Kiwoom No.1 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed, 4.52 ,"Dasom Development Lease Inc.; Alliance Capital Partners Co., Ltd.; Lee Capital Investment Co., Ltd.; SUSUNG ASSET MANAGEMENT Co., Ltd.; Seohan Investment Co. Ltd.; Iplus Asset","Kiwoom Securities Co., Ltd. (KOSE:A039490); DB Asset Management Co., Ltd.",IQTR241142344,Blank Checks (Primary),Acquired
04/26/2013,"Apex 7, Inc.",-,Merger/Acquisition,Closed, 0.04 ,ScanSys Inc.,-,IQTR237704408,Blank Checks (Primary),Acquired
11/19/2012,Sophia Capital Corp.,-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR228473716,Blank Checks (Primary),Acquired
09/06/2012,"DE Acquisition 2, Inc.",-,Merger/Acquisition,Closed, 0.015 ,Pinnacle Investment Group LLC,"New Asia Partners, LLC",IQTR223128546,Blank Checks (Primary),Acquired
08/28/2012,Z.B.I. Ltd.,-,Merger/Acquisition,Closed, 31.83 ,"Israel 18 BV, Endowment Arm",S.G. Textile Holdings Ltd,IQTR216238474,Blank Checks (Primary),Acquired
04/12/2012,"Kallisto Ventures, Inc.",-,Merger/Acquisition,Closed, 0.07 ,"CenturyTouch Ltd, Inc.",-,IQTR184460776,Blank Checks (Primary),Acquired
10/07/2011,Matter of Time I Co.,-,Merger/Acquisition,Closed, 0.024 ,Green Automotive Company (OTCPK:GACR),"Bosch Equities, LLC",IQTR141451304,Blank Checks (Primary),Acquired
07/19/2011,NB Manufacturing Inc.,-,Merger/Acquisition,Closed, 0.302 ,"Beaux Beaux Partnership; Rocky Global Enterprises Ltd.; Azul Dia, Inc.","Mathis Family Partners, Ltd; Jack D. Kelley and Associates, Inc.",IQTR138671520,Blank Checks (Primary),Acquired
05/25/2011,Glorious Pioneer Investments Ltd.,-,Merger/Acquisition,Closed, 0.014 ,Eternal City Investments Ltd.,-,IQTR133375304,Blank Checks (Primary),Acquired
05/06/2011,"Dongxing International, Inc.",-,Merger/Acquisition,Closed, 0.07 ,"OZ SafeRooms Technologies, Inc.",-,IQTR132117414,Blank Checks (Primary),Acquired
04/20/2011,"Alpine Alpha 3, Ltd.",-,Merger/Acquisition,Closed, 0.25 ,China Bus Group Company,"Alpine Venture Associates, LLC",IQTR130643814,Blank Checks (Primary),Acquired
03/29/2011,"Daedalus Ventures, Inc.",-,Merger/Acquisition,Cancelled, 0.06 ,Alpha Network Alliance Ventures Inc. (OTCPK:ANAV),-,IQTR129206384,Blank Checks (Primary),Acquired
03/04/2011,Sereno Capital Corp.,-,Merger/Acquisition,Closed, 0.206 ,-,"Envoy Capital Group, Inc.",IQTR128039479,Blank Checks (Primary),Acquired
03/01/2011,Rich Mountain Enterprises Limited,-,Merger/Acquisition,Closed, 0.008 ,Eternal City Investments Ltd.,-,IQTR133444870,Blank Checks (Primary),Acquired
09/07/2010,"AJ Acquisition Corp. V, Inc.",-,Merger/Acquisition,Closed, 0.04 ,-,-,IQTR113063991,Blank Checks (Primary),Acquired
06/30/2010,Z.B.I. Ltd.,-,Merger/Acquisition,Cancelled, 32.95 ,-,-,IQTR207249020,Blank Checks (Primary),Acquired
05/14/2010,"Vibrosaun International, Inc.",-,Merger/Acquisition,Closed, 0.119 ,"Vincent & Rees, Investment Arm",Chiricahua Company,IQTR105848831,Blank Checks (Primary),Acquired
03/05/2010,"PI Services, Inc.",-,Merger/Acquisition,Closed, 0.275 ,-,-,IQTR99153224,Blank Checks (Primary),Acquired
02/05/2010,"Expedite 5, Inc.",-,Merger/Acquisition,Closed, 0.03 ,-,-,IQTR95148067,Blank Checks (Primary),Acquired
01/06/2010,East Coast Diversified Corp.,-,Merger/Acquisition,Closed, 0.3 ,East Coast Diversified Corporation,"Green Energy Partners, LLC",IQTR84122160,Blank Checks (Primary),Acquired
12/18/2009,Latigo Capital Corporation,-,Merger/Acquisition,Closed, 1.75 ,Warnic 1 Enterprises Ltd.,-,IQTR83490674,Blank Checks (Primary),Acquired
12/18/2009,Valentine Ventures Corp.,-,Merger/Acquisition,Closed, 1.15 ,Warnic 1 Enterprises Ltd.,-,IQTR83491521,Blank Checks (Primary),Acquired
12/18/2009,Blackwater Capital Corp.,-,Merger/Acquisition,Closed, 0.568 ,Warnic 1 Enterprises Ltd.,-,IQTR83492127,Blank Checks (Primary),Acquired
12/17/2009,"Rhino Productions, Inc.",-,Merger/Acquisition,Closed, 0.132 ,-,-,IQTR83348725,Blank Checks (Primary),Acquired
12/08/2009,BPW Acquisition Corp.,-,Merger/Acquisition,Closed, 463.24 ,The Talbots Inc.,Brooklyn NY Holdings LLC; Perella Weinberg Partners Capital Management LP,IQTR82622681,Blank Checks (Primary),Acquired
11/10/2009,Nicaragua Rising Inc.,-,Merger/Acquisition,Closed, 0.335 ,Sunflower Capital,-,IQTR79286719,Blank Checks (Primary),Acquired
09/21/2009,"BTHC X, Inc.",-,Merger/Acquisition,Closed, 0.33 ,-,-,IQTR66106958,Blank Checks (Primary),Acquired
07/16/2009,"Aurum Explorations, Inc.",-,Merger/Acquisition,Closed, 0.1 ,-,-,IQTR61939470,Blank Checks (Primary),Acquired
06/22/2009,Sieger Capital Management Ltd.,-,Merger/Acquisition,Cancelled, 0.104 ,Centre Financier de la Cité Inc,-,IQTR60806807,Blank Checks (Primary),Acquired
06/02/2009,ACFAW.com Inc.,-,Merger/Acquisition,Closed, 0.749 ,ACFAW.COM Inc.,-,IQTR59530761,Blank Checks (Primary),Acquired
05/21/2009,Lumex Capital Corp.,-,Merger/Acquisition,Closed, 0.22 ,Ausex Capital Corp.,-,IQTR59235071,Blank Checks (Primary),Acquired
05/15/2009,"Mondo Acquisition I, Inc.",-,Merger/Acquisition,Closed, 0.08 ,"Midas Medici Group Holdings, Inc.",Mondo Management Corp.,IQTR59232465,Blank Checks (Primary),Acquired
04/20/2009,"Pashminadepot.com, Inc.",-,Merger/Acquisition,Closed, 0.175 ,Albury Investments Limited,-,IQTR58144593,Blank Checks (Primary),Acquired
11/07/2008,"Millstream Ventures, Inc.",-,Merger/Acquisition,Closed, 0.046 ,-,-,IQTR50197700,Blank Checks (Primary),Acquired
09/30/2008,"Mondo Acquisition II, Inc.",-,Merger/Acquisition,Closed, 0.019 ,-,-,IQTR49526903,Blank Checks (Primary),Acquired
07/15/2008,Genius World Investments Limited,-,Merger/Acquisition,Closed, 0.056 ,-,-,IQTR46959422,Blank Checks (Primary),Acquired
07/08/2008,"Grace 2, Inc.",-,Merger/Acquisition,Closed, 0.03 ,"Broad Street Ventures, LLC",-,IQTR46611219,Blank Checks (Primary),Acquired
07/01/2008,Mainrom Line Logistics Ltd.,-,Merger/Acquisition,Closed, 0.024 ,Plainfield Asset Management LLC,-,IQTR46451580,Blank Checks (Primary),Acquired
06/17/2008,Narayan Capital Corp.,-,Merger/Acquisition,Closed, 0.01 ,-,-,IQTR46052928,Blank Checks (Primary),Acquired
03/21/2008,Senior Optician Service Inc,-,Merger/Acquisition,Closed, 0.569 ,-,Kaniksu Financial Services Llc,IQTR43839361,Blank Checks (Primary),Acquired
01/16/2008,CNR Capital Corp.,-,Merger/Acquisition,Closed, 0.304 ,-,-,IQTR40156300,Blank Checks (Primary),Acquired
10/12/2007,"Firstway Enterprises, Inc.",-,Merger/Acquisition,Closed, 0.06 ,-,-,IQTR38311913,Blank Checks (Primary),Acquired
07/27/2007,Berkshire Griffin Inc.,-,Merger/Acquisition,Closed, 0.31 ,"Miracle Capital, Ltd.",-,IQTR37230641,Blank Checks (Primary),Acquired
10/16/2006,Ubrandit.com,-,Merger/Acquisition,Closed, 0.6 ,-,-,IQTR30277604,Blank Checks (Primary),Acquired
05/30/2006,Cap Tech Financial Group Inc.,-,Merger/Acquisition,Closed, 19.79 ,-,-,IQTR35921199,Blank Checks (Primary),Acquired
08/17/2005,"Black Hat Cap Inc.,",-,Merger/Acquisition,Cancelled, 0.112 ,Linear Capital Group,-,IQTR23629121,Blank Checks (Primary),Acquired
08/16/2005,"Sunburst Acquisitions V, Inc.",-,Merger/Acquisition,Closed, 0.025 ,Onping Limited,-,IQTR24672759,Blank Checks (Primary),Acquired
12/01/2004,Z.B.I. Ltd.,-,Merger/Acquisition,Closed, 36.5 ,-,Clal Industries Ltd.,IQTR12916463,Blank Checks (Primary),Acquired
10/28/2004,Fossil Bay Resources Ltd.,-,Merger/Acquisition,Closed, 0.091 ,Terra Energy Corp. (OTCPK:TTRH.F),-,IQTR12424295,Blank Checks (Primary),Acquired
07/21/2004,Sheffield Products Inc.,-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR12437118,Blank Checks (Primary),Acquired
05/25/2004,Silvermines Media PLC,-,Merger/Acquisition,Closed, 0.02 ,Marshall Lake Mining Limited,-,IQTR23697840,Blank Checks (Primary),Acquired
05/06/2004,Vergene Capital Corp.,-,Merger/Acquisition,Closed, 0.04 ,Greencastle Resources Ltd. (TSXV:VGN),-,IQTR36653593,Blank Checks (Primary),Acquired
11/08/2002,"TDI Holding Corp., substantially all assets",-,Merger/Acquisition,Closed, 3.5 ,Willette Acquisition Corp.,TDI Holding Corp.,IQTR3068649,Blank Checks (Primary),Acquired
09/30/2002,Crossroad Ventures Inc.,-,Merger/Acquisition,Closed, 0.23 ,NEMI Northern Energy & Mining Inc.,-,IQTR20641551,Blank Checks (Primary),Acquired
05/15/2002,Capital Equities Group Inc.,-,Merger/Acquisition,Closed, 25.0 ,"Silk Botanicals.Com, Inc.",-,IQTR11940452,Blank Checks (Primary),Acquired
02/18/2002,INT Corporation Limited,-,Merger/Acquisition,Closed, 0.827 ,-,Lakes Oil NL (ASX:LKO),IQTR26897766,Blank Checks (Primary),Acquired
12/20/2001,Dipper Incorporated,-,Merger/Acquisition,Closed, 0.032 ,"21st Century Education, Inc.","Corporate Management Services, Inc.",IQTR49371597,Blank Checks (Primary),Acquired
08/08/2001,Global Diversified Acquisition Corp.,-,Merger/Acquisition,Closed, 1.8 ,-,Global Capital Partners Inc. (OTCPK:GCPL),IQTR51864216,Blank Checks (Primary),Acquired
12/13/2000,"Voice Powered Technology International, Inc.",-,Merger/Acquisition,Cancelled, 0.487 ,"Franklin Electronic Publishers, Inc.",-,IQTR7654281,Blank Checks (Primary),Acquired
11/21/2000,Intercontinental Finance Corporation,-,Merger/Acquisition,Closed, 0.268 ,"Intercontinental Holdings, Inc.",-,IQTR11437031,Blank Checks (Primary),Acquired
07/18/2000,MAS Acquisition XXV Corp.,-,Merger/Acquisition,Closed, 0.07 ,OmniNet Media.com Inc.,MAS Capital Inc.,IQTR47102414,Blank Checks (Primary),Acquired
05/19/2000,"Lil Marc, Inc.",-,Merger/Acquisition,Closed, 0.322 ,Comvest Partners,-,IQTR59063815,Blank Checks (Primary),Acquired
05/08/2000,J.S.J. Capital Corp.,-,Merger/Acquisition,Closed, 0.356 ,"High Speed Net Solutions, Inc.",-,IQTR47284907,Blank Checks (Primary),Acquired
04/26/2000,Segway II Corp,-,Merger/Acquisition,Closed, 0.078 ,Pangea Petroleum Corp,-,IQTR12416737,Blank Checks (Primary),Acquired
04/07/2000,J.S.J. Capital III Inc.,-,Merger/Acquisition,Closed, 3.07 ,Accesspoint Corporation,-,IQTR47284261,Blank Checks (Primary),Acquired
03/28/2000,"Conchology, Inc.",-,Merger/Acquisition,Closed, 5.7 ,"WAMEX Holdings, Inc.",-,IQTR12366990,Blank Checks (Primary),Acquired
03/08/2000,"Madison Holdings, Inc.",-,Merger/Acquisition,Closed, 18.0 ,"Solomon Alliance Group, Inc.",-,IQTR49162778,Blank Checks (Primary),Acquired
02/25/2000,MAS Acquisition XVI Corp,-,Merger/Acquisition,Closed, 0.367 ,"Rock Ridge Resources, Inc. (OTCPK:RRRI)",-,IQTR12344015,Blank Checks (Primary),Acquired
12/24/1999,Aberdeen Acquisition Corporation,-,Merger/Acquisition,Closed, 0.6 ,Advanced Technology Industries Inc.,-,IQTR12424056,Blank Checks (Primary),Acquired
07/20/1999,Global Diversified Acquisition Corp.,-,Merger/Acquisition,Closed, 1.11 ,Global Capital Partners Inc. (OTCPK:GCPL),-,IQTR51863664,Blank Checks (Primary),Acquired
04/28/1999,Eden Exploration Ltd.,-,Merger/Acquisition,Closed, 0.76 ,Cannon Oil & Gas Ltd.,-,IQTR11777723,Blank Checks (Primary),Acquired
06/10/1998,MTN Holdings Inc.,-,Merger/Acquisition,Closed, 350.0 ,MTN Group Limited (JSE:MTN); New Africa Investments Limited; Transnet SOC Ltd; National Empowerment Fund,AT&T Inc. (NYSE:T),IQTR12961130,Blank Checks (Primary),Acquired
10/07/2020,Longevity Acquisition Corporation (NasdaqCM:LOAC),NasdaqCM:LOAC,Merger/Acquisition,Announced, 116.77 ,4D pharma plc (AIM:DDDD),Whale Management Corporation,IQTR692680214,Blank Checks (Primary),Operating
09/25/2020,Tekkorp Digital Acquisition Corp.,-,Merger/Acquisition,Closed, 0.005 ,-,Tekkorp JEMB LLC,IQTR693938023,Blank Checks (Primary),Operating
07/20/2020,First Light Capital Corp (TSXV:XYZ.P),TSXV:XYZ.P,Merger/Acquisition,Closed, 0.074 ,Anacortes Management Ltd.,-,IQTR677738759,Blank Checks (Primary),Operating
05/27/2020,Aumento Capital VII Corporation (TSXV:AUOC.P),TSXV:AUOC.P,Merger/Acquisition,Announced, 0.025 ,Paul Pathak Professional Corporation,-,IQTR669496817,Blank Checks (Primary),Operating
01/13/2020,Smartset Services Inc. (TSXV:SMAR.P),TSXV:SMAR.P,Merger/Acquisition,Closed, 0.019 ,-,-,IQTR650903286,Blank Checks (Primary),Operating
12/05/2019,"Yuanta 5 SPECIAL PURPOSE ACQUISITION CO., LTD. (KOSDAQ:A336060)",KOSDAQ:A336060,Merger/Acquisition,Closed, 0.219 ,"Shinhan Investment Corp., Investment Arm",-,IQTR647587774,Blank Checks (Primary),Operating
07/11/2019,Karsten Energy Corp. (TSXV:KAY.H),TSXV:KAY.H,Merger/Acquisition,Closed, 0.076 ,-,-,IQTR629139572,Blank Checks (Primary),Operating
12/17/2018,"Sangsangin Ian No.1 Special Purpose Acquisition Co., Ltd. (KOSDAQ:A307870)",KOSDAQ:A307870,Merger/Acquisition,Closed, 1.93 ,-,"Sangsangin Investment & Securities Co.,Ltd. (KOSE:A001290)",IQTR595658753,Blank Checks (Primary),Operating
11/20/2018,"Entest Group, Inc. (OTCPK:ETNI)",OTCPK:ETNI,Merger/Acquisition,Closed, 0.325 ,-,"Bio-Technology Partners Business Trust; Regen BioPharma, Inc. (OTCPK:RGBP); Dunhill Ross Partners, Inc.; Bostonia Partners, Inc.",IQTR592083529,Blank Checks (Primary),Operating
06/12/2018,"Yuanta 3 SPECIAL PURPOSE ACQUISITION CO., LTD. (KOSDAQ:A287410)",KOSDAQ:A287410,Merger/Acquisition,Closed, 0.849 ,-,"Yuanta Securities Korea Co., Ltd., Investment Arm",IQTR571373867,Blank Checks (Primary),Operating
04/04/2018,"Bally, Corp. (OTCPK:BLYQ)",OTCPK:BLYQ,Merger/Acquisition,Closed, 0.36 ,-,"Aureas Capital Co., Ltd.; NYJJ Investments Limited",IQTR558168019,Blank Checks (Primary),Operating
07/26/2017,Five Seasons XXII Pte. Ltd.,-,Merger/Acquisition,Closed, 79.83 ,Fullshare Investment Management II Limited,Fullshare Holdings Limited (SEHK:607),IQTR532393581,Blank Checks (Primary),Operating
06/28/2017,Tikun Olam - Cannbit Pharmaceuticals Ltd (TASE:TKUN),TASE:TKUN,Merger/Acquisition,Closed, 0.143 ,Apex Capital Markets Ltd.,"Apex Issuances, Investment arm",IQTR529091944,Blank Checks,Operating
06/27/2017,SMSA Crane Acquisition Corp. (OTCPK:SSCR),OTCPK:SSCR,Merger/Acquisition,Closed, 0.25 ,-,"Coquí RadioPharmaceuticals, Corp.",IQTR528567095,Blank Checks (Primary),Operating
04/14/2017,Committed Capital Acquisition Corporation II (OTCPK:CCAQ),OTCPK:CCAQ,Merger/Acquisition,Closed, 0.017 ,"KASPAC, LLC; KSSPAC, LLC; CCAC II, LLC; NOTESPAC, LLC; KIDSSPAC, LLC","P&P 2, LLC; Committed Capital Holdings II LLC; Elliot-Herbst LP",IQTR427833439,Blank Checks (Primary),Operating
01/06/2017,"Pacifica Holdings, Inc. (PSE:PA)",PSE:PA,Merger/Acquisition,Closed, 2.07 ,"Unido Capital Holdings, Inc.","Mikro-Tech Capital, Inc.; 9th Kingdom Investments Inc",IQTR415578752,Blank Checks (Primary),Operating
01/06/2017,"Pacifica Holdings, Inc. (PSE:PA)",PSE:PA,Merger/Acquisition,Cancelled, 2.03 ,"Unido Capital Holdings, Inc.",-,IQTR415592914,Blank Checks (Primary),Operating
08/25/2016,Dundee Acquisition Ltd.,-,Merger/Acquisition,Cancelled, 49.39 ,CHC Student Housing Corp. (TSXV:CHC.H),Fir Tree Partners; Dundee Corporation (TSX:DC.A); Polar Asset Management Partners Inc.; Vertex One Asset Management Inc.; EdgePoint Investment Group Inc.,IQTR382058456,Blank Checks (Primary),Operating
07/11/2016,"Bally, Corp. (OTCPK:BLYQ)",OTCPK:BLYQ,Merger/Acquisition,Closed, 0.1 ,"Aureas Capital Co., Ltd.",-,IQTR378067502,Blank Checks (Primary),Operating
03/30/2016,ECCL Investments and Finance Limited,-,Merger/Acquisition,Closed, 0.004 ,-,Excel Crop Care Limited,IQTR332249832,Blank Checks (Primary),Operating
02/17/2016,"Po Yuen Cultural Holdings (Hong Kong) Co., Ltd. (OTCPK:POYN)",OTCPK:POYN,Merger/Acquisition,Closed, 0.3 ,-,-,IQTR327765714,Blank Checks (Primary),Operating
11/11/2015,"Hyundai L&R Co., Ltd.",-,Merger/Acquisition,Cancelled, 21.97 ,"Hyundai Elevator Co., Ltd (KOSE:A017800)","HMM Co.,Ltd (KOSE:A011200)",IQTR317315907,Blank Checks (Primary),Operating
07/21/2015,Lvyuan Green Building Material Technology Corp.,-,Merger/Acquisition,Closed, 0.225 ,-,-,IQTR308796609,Blank Checks (Primary),Operating
01/28/2015,"Medical Sales Group, LLC",-,Merger/Acquisition,Cancelled, 0.19 ,"Wearable Health Solutions, Inc. (OTCPK:WHSI)",-,IQTR283126697,Blank Checks (Primary),Operating
12/31/2014,"Hyundai L&R Co., Ltd.",-,Merger/Acquisition,Closed, 18.96 ,"Hyundai Movex Co., Ltd.","LOTTE Global Logistics Co., Ltd",IQTR285570294,Blank Checks (Primary),Operating
09/04/2014,"Go Public, Inc.",-,Merger/Acquisition,Closed, 0.035 ,-,-,IQTR271763143,Blank Checks (Primary),Operating
07/07/2014,"Wealth Acquisition, Inc.",-,Merger/Acquisition,Closed, 0.032 ,-,-,IQTR267754300,Blank Checks (Primary),Operating
10/10/2013,"Go Public, Inc.",-,Merger/Acquisition,Closed, 0.025 ,-,-,IQTR248151394,Blank Checks (Primary),Operating
09/20/2013,SMSA Crane Acquisition Corp. (OTCPK:SSCR),OTCPK:SSCR,Merger/Acquisition,Closed, 0.28 ,"Coquí RadioPharmaceuticals, Corp.","Halter Financial Investments L.P., Investment Arm",IQTR247163385,Blank Checks (Primary),Operating
01/18/2013,E-Waste Corp. (OTCPK:EWST),OTCPK:EWST,Merger/Acquisition,Closed, 0.278 ,-,-,IQTR253401232,Blank Checks (Primary),Operating
01/10/2013,"Anpulo Food Development, Inc.",-,Merger/Acquisition,Closed, 0.12 ,-,-,IQTR225991079,Blank Checks (Primary),Operating
12/13/2012,SMSA Humble Acquisition Corp.,-,Merger/Acquisition,Closed, 0.009 ,-,-,IQTR225242768,Blank Checks (Primary),Operating
11/29/2012,"REON Holdings, Inc.",-,Merger/Acquisition,Closed, 0.02 ,-,-,IQTR224763036,Blank Checks (Primary),Operating
11/19/2012,Folkstone Capital Corp.,-,Merger/Acquisition,Closed, 0.151 ,-,-,IQTR228475894,Blank Checks (Primary),Operating
11/08/2012,Jinhua Capital Corporation (TSXV:JHC.H),TSXV:JHC.H,Merger/Acquisition,Closed, 0.03 ,-,-,IQTR224112724,Blank Checks (Primary),Operating
06/29/2012,Tengjun Biotechnology Corp. (OTCPK:TJBH),OTCPK:TJBH,Merger/Acquisition,Closed, 0.16 ,-,-,IQTR212737339,Blank Checks (Primary),Operating
05/04/2012,Ubitech Hub Pte. Ltd.,-,Merger/Acquisition,Closed, 172.89 ,Blackstone Real Estate Advisors,SEB Investment GmbH,IQTR207415339,Blank Checks (Primary),Operating
