All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer]
04/19/2012,Ord Mountain Resources Corp. (TSXV:OMR.H),TSXV:OMR.H,Merger/Acquisition,Closed, 0.038 ,-,DoubleOcean Financial Group Ltd.,IQTR207116186,Blank Checks (Primary),Operating
04/16/2012,"Neptunus Ventures, Inc.",-,Merger/Acquisition,Closed, 0.043 ,-,-,IQTR196193078,Blank Checks (Primary),Operating
04/09/2012,"Bama Biotech, Inc.",-,Merger/Acquisition,Closed, 0.02 ,-,-,IQTR184106569,Blank Checks (Primary),Operating
03/20/2012,"CSV International Holdings, Inc.",-,Merger/Acquisition,Closed, 0.025 ,-,-,IQTR182621870,Blank Checks (Primary),Operating
03/01/2012,"Parks One, Inc.",-,Merger/Acquisition,Closed, 0 ,"Blackpool Capital Group, LLC",-,IQTR172707632,Blank Checks (Primary),Operating
01/24/2012,Ord Mountain Resources Corp. (TSXV:OMR.H),TSXV:OMR.H,Merger/Acquisition,Closed, 0.074 ,-,-,IQTR172011939,Blank Checks (Primary),Operating
11/17/2011,"China Rongxin Chemical Holding Group, Inc.",-,Merger/Acquisition,Closed, 0.025 ,-,-,IQTR143160217,Blank Checks (Primary),Operating
09/22/2011,Kilkenny Capital Corporation,-,Merger/Acquisition,Closed, 0.024 ,-,-,IQTR140830956,Blank Checks (Primary),Operating
05/24/2011,UAN Power Corporation,-,Merger/Acquisition,Closed, 0.2 ,-,-,IQTR133321019,Blank Checks (Primary),Operating
05/24/2011,"Austin Acquisitions, Inc",-,Merger/Acquisition,Cancelled, 0.4 ,"RVPlus, Inc.",-,IQTR133328193,Blank Checks (Primary),Operating
05/17/2011,"Kangye International Holdings, Inc.",-,Merger/Acquisition,Closed, 0.028 ,-,-,IQTR132962636,Blank Checks (Primary),Operating
05/09/2011,Cepheus Acquisition Corp.,-,Merger/Acquisition,Closed, 0.07 ,-,-,IQTR133027725,Blank Checks (Primary),Operating
03/14/2011,Corridor Ventures II Acquisition Corp.,-,Merger/Acquisition,Closed, 0.01 ,"Asia Junwei Finance Capital Group Company Limited, Investment Arm","Corridor Ventures, LLC",IQTR128466238,Blank Checks (Primary),Operating
03/09/2011,Euramerica Holdings Corp,-,Merger/Acquisition,Closed, 0.06 ,-,-,IQTR128241427,Blank Checks (Primary),Operating
03/08/2011,EcoGlobal Holdings Corporation,-,Merger/Acquisition,Closed, 0.16 ,-,-,IQTR128169718,Blank Checks (Primary),Operating
01/27/2011,"China inSure Holdings, Inc.",-,Merger/Acquisition,Closed, 0.03 ,-,-,IQTR118795599,Blank Checks (Primary),Operating
01/19/2011,"Wintahenderson International, Inc.",-,Merger/Acquisition,Closed, 0.019 ,-,"Marlin Financial Group, Asset Management Arm; Beige Holdings, LLC",IQTR118470008,Blank Checks (Primary),Operating
12/13/2010,Belenus Acquisition Corp.,-,Merger/Acquisition,Closed, 0.07 ,-,-,IQTR117212858,Blank Checks (Primary),Operating
12/01/2010,"Encompass Energy Services, Inc. (OTCPK:EESI)",OTCPK:EESI,Merger/Acquisition,Closed, 0.335 ,-,Tailormade Holdings Ltd.,IQTR116584559,Blank Checks (Primary),Operating
11/24/2010,"AJ Acquisition Corp. III, Inc.",-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR116324757,Blank Checks (Primary),Operating
11/24/2010,Skyview Holdings Corp.,-,Merger/Acquisition,Closed, 0.02 ,-,-,IQTR116849298,Blank Checks (Primary),Operating
10/07/2010,"Wintahenderson International, Inc.",-,Merger/Acquisition,Closed, 0.015 ,"Marlin Financial Group, Asset Management Arm; Beige Holdings, LLC",-,IQTR114269144,Blank Checks (Primary),Operating
07/01/2010,"UAN Cultural & Creative Co., Ltd.",-,Merger/Acquisition,Closed, 0.45 ,-,-,IQTR108953863,Blank Checks (Primary),Operating
06/30/2010,Bailey Frances Corporation,-,Merger/Acquisition,Closed, 0.04 ,-,-,IQTR108952159,Blank Checks (Primary),Operating
06/29/2010,"AJ Acquisition Corp. II, Inc.",-,Merger/Acquisition,Closed, 0.028 ,ARC China,-,IQTR108817140,Blank Checks (Primary),Operating
06/29/2010,"AJ Acquisition Corp. I, Inc.",-,Merger/Acquisition,Closed, 0.028 ,ARC China,-,IQTR108820887,Blank Checks (Primary),Operating
10/09/2009,"Innovative Wireless Technologies, Inc.",-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR74876900,Blank Checks (Primary),Operating
09/10/2009,Anasazi Capital Corp.,-,Merger/Acquisition,Closed, 0.01 ,-,"U.S.A. Capital Management Group, Inc.",IQTR64728427,Blank Checks (Primary),Operating
09/02/2009,TayCon Capital Corporation,-,Merger/Acquisition,Cancelled, 0.213 ,GA Capital Corp.,-,IQTR62531915,Blank Checks (Primary),Operating
08/27/2009,Prestige Capital Corporation (OTCPK:PGEC),OTCPK:PGEC,Merger/Acquisition,Closed, 0.085 ,-,"Tryant LLC, Asset Management Arm",IQTR62321166,Blank Checks (Primary),Operating
08/04/2009,"Grand Monarch Holdings, Inc.",-,Merger/Acquisition,Closed, 0.025 ,"American Union Financial Services, Inc.",Empire Energy Corporation International,IQTR104552519,Blank Checks (Primary),Operating
06/18/2009,"Greater Asia Realty Holdings, Ltd.",-,Merger/Acquisition,Closed, 0.07 ,-,-,IQTR61372510,Blank Checks (Primary),Operating
06/10/2009,Universal Infrastructure Corp.,-,Merger/Acquisition,Cancelled, 0.079 ,Global Alternative Investments Inc.,-,IQTR60233159,Blank Checks (Primary),Operating
04/30/2009,"Watchtower, Inc.",-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR58775410,Blank Checks (Primary),Operating
04/17/2009,"Grand Monarch Holdings, Inc.",-,Merger/Acquisition,Closed, 0.113 ,Empire Energy Corporation International,-,IQTR58221191,Blank Checks (Primary),Operating
02/12/2009,Big Sky Industries II Inc,-,Merger/Acquisition,Closed, 0.011 ,-,-,IQTR53029994,Blank Checks (Primary),Operating
12/08/2008,"Tia I, Inc.",-,Merger/Acquisition,Closed, 0.025 ,-,-,IQTR51505063,Blank Checks (Primary),Operating
12/08/2008,"Tia II, Inc.",-,Merger/Acquisition,Closed, 0.025 ,-,-,IQTR51505404,Blank Checks (Primary),Operating
11/25/2008,Redcliffe Energy Holdings Inc.,-,Merger/Acquisition,Closed, 0.63 ,Redcliffe Exploration Inc.,-,IQTR51155758,Blank Checks (Primary),Operating
10/16/2008,Westmont Acquisition Corp.,-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR49755354,Blank Checks (Primary),Operating
10/15/2008,Basset Enterprises Inc.,-,Merger/Acquisition,Closed, 0.2 ,"A. Epstein and Sons International, Inc.",Mid-Continental Securities Corp.,IQTR50277829,Blank Checks (Primary),Operating
10/13/2008,Nugent Engine Technologies Inc.,-,Merger/Acquisition,Closed, 0.066 ,-,"Enterprise Creations, LLC",IQTR54021736,Blank Checks (Primary),Operating
10/08/2008,Avalon Works Corp.,-,Merger/Acquisition,Closed, 0.021 ,-,-,IQTR49503895,Blank Checks (Primary),Operating
09/15/2008,"Xodtec Group USA, Inc.",-,Merger/Acquisition,Closed, 0.035 ,-,-,IQTR49069388,Blank Checks (Primary),Operating
07/25/2008,"BKF Capital Group, Inc. (OTCPK:BKFG)",OTCPK:BKFG,Merger/Acquisition,Closed, 1.37 ,"The Catalyst Group, Inc.",-,IQTR47133351,Blank Checks (Primary),Operating
07/18/2008,China Capital Finance Corp.,-,Merger/Acquisition,Closed, 0.008 ,-,-,IQTR47611818,Blank Checks (Primary),Operating
06/01/2008,Norquest Acquisition Corp.,-,Merger/Acquisition,Closed, 0.06 ,-,-,IQTR45588115,Blank Checks (Primary),Operating
05/12/2008,Dutch Oven Gold Group Inc.,-,Merger/Acquisition,Closed, 0.06 ,-,-,IQTR45094092,Blank Checks (Primary),Operating
02/05/2008,Greater China Acquisition Corp.,-,Merger/Acquisition,Closed, 0.08 ,-,-,IQTR40843852,Blank Checks (Primary),Operating
01/15/2008,Giant Billion Limited,-,Merger/Acquisition,Closed, 25.8 ,"China Ever Grand Financial Leasing Group Co., Ltd. (SEHK:379)",-,IQTR59529009,Blank Checks (Primary),Operating
12/31/2007,Esco Inc.,-,Merger/Acquisition,Closed, 0.1 ,"Luther Capital Management, LLC",-,IQTR51176721,Blank Checks (Primary),Operating
12/27/2007,"Map VII Acquisition, Inc.",-,Merger/Acquisition,Closed, 0.03 ,Triumph Small-Cap Fund Inc.,-,IQTR39947140,Blank Checks (Primary),Operating
12/15/2007,"Advanced Scientific Asset Holding, Inc.",-,Merger/Acquisition,Closed, 0.07 ,-,-,IQTR39699664,Blank Checks (Primary),Operating
12/13/2007,Anasazi Capital Corp.,-,Merger/Acquisition,Closed, 0.014 ,"U.S.A. Capital Management Group, Inc.",-,IQTR39511017,Blank Checks (Primary),Operating
11/14/2007,"Heratsi Pharmaceuticals, Inc.",-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR39103311,Blank Checks (Primary),Operating
08/26/2007,"Intellicapital, Inc.",-,Merger/Acquisition,Closed, 0.06 ,-,-,IQTR36549982,Blank Checks (Primary),Operating
06/20/2007,"Sentosa Financial Investments, Ltd.",-,Merger/Acquisition,Closed, 0.042 ,-,-,IQTR35424792,Blank Checks (Primary),Operating
06/15/2007,"China Culture Resorts Holdings, Inc.",-,Merger/Acquisition,Closed, 0.028 ,-,-,IQTR35271146,Blank Checks (Primary),Operating
04/02/2007,Zane Acquisition I Inc.,-,Merger/Acquisition,Closed, 0.029 ,-,-,IQTR47575824,Blank Checks (Primary),Operating
04/02/2007,Zane Acquisition II Inc.,-,Merger/Acquisition,Closed, 0.029 ,-,-,IQTR47576202,Blank Checks (Primary),Operating
03/11/2007,Stoneleigh Acquisition Corp.,-,Merger/Acquisition,Closed, 0.042 ,-,-,IQTR33227161,Blank Checks (Primary),Operating
02/15/2007,Palomino Resources Inc.,-,Merger/Acquisition,Cancelled, 0.439 ,Pennine Petroleum Corporation (TSXV:PNN),-,IQTR32781323,Blank Checks (Primary),Operating
09/30/2006,Jackray Corporation,-,Merger/Acquisition,Closed, 0.098 ,-,-,IQTR30913426,Blank Checks (Primary),Operating
09/26/2006,"Dalian Capital Group, Inc.",-,Merger/Acquisition,Closed, 0.083 ,"Humet-PBC North America, Inc.",-,IQTR44787666,Blank Checks (Primary),Operating
06/16/2006,Kokopelli Capital Corp.,-,Merger/Acquisition,Closed, 0.03 ,-,-,IQTR36814235,Blank Checks (Primary),Operating
04/03/2006,Highriver Acquisition Corp.,-,Merger/Acquisition,Closed, 0.06 ,-,-,IQTR34261704,Blank Checks (Primary),Operating
02/23/2006,"51149, Inc.",-,Merger/Acquisition,Closed, 0.24 ,"Rose Waste Systems, Inc.",-,IQTR36850328,Blank Checks (Primary),Operating
02/03/2006,"51149, Inc.",-,Merger/Acquisition,Closed, 0.04 ,-,-,IQTR37212462,Blank Checks (Primary),Operating
07/08/2005,Madison Avenue Holdings Inc.,-,Merger/Acquisition,Closed, 0.12 ,-,Acer Limited,IQTR24842365,Blank Checks (Primary),Operating
11/24/2004,Crescendo Acquisition Corp.,-,Merger/Acquisition,Closed, 0.05 ,-,-,IQTR29000894,Blank Checks (Primary),Operating
04/06/2001,RRM Investment Holdings Ltd.,-,Merger/Acquisition,Cancelled, 0.04 ,Usat Trust Limited,-,IQTR29930584,Blank Checks (Primary),Operating
01/24/2001,RRM Investment Holdings Ltd.,-,Merger/Acquisition,Closed, 0.427 ,Usat Trust Limited,-,IQTR30277610,Blank Checks (Primary),Operating
03/06/2000,Society Of Economic Assurance Inc,-,Merger/Acquisition,Closed, 0.313 ,iLive Inc.,-,IQTR12342689,Blank Checks (Primary),Operating
02/16/1999,NCM Services Inc.,-,Merger/Acquisition,Effective, 5.0 ,"Amazon.com, Inc. (NasdaqGS:AMZN)",-,IQTR11824046,Blank Checks (Primary),Operating
12/13/1996,Accredited Business Consolidators Corp.,-,Merger/Acquisition,Effective, 3.5 ,Whitecliff Capital Partners,-,IQTR451921,Blank Checks (Primary),Operating
02/25/2019,"Kaival Brands Innovations Group, Inc. (OTCPK:KAVL)",OTCPK:KAVL,Merger/Acquisition,Closed, 0.325 ,"Kaival Holdings, Llc",-,IQTR604275985,Blank Checks,Operating Subsidiary
07/16/2018,"Finest Acquisition, Inc.",-,Merger/Acquisition,Closed, 0.05 ,"AWC Capital, Inc.",-,IQTR574234436,Blank Checks (Primary),Operating Subsidiary
06/25/2018,Sirius Acquisitions Holding Company III,-,Merger/Acquisition,Closed, 164.51 ,"Sirius International Insurance Group, Ltd. (NasdaqGS:SG)","Easterly Acquisition Sponsor, LLC",IQTR571878230,Blank Checks (Primary),Operating Subsidiary
05/24/2018,"Big Time Holdings, Inc.",-,Merger/Acquisition,Closed, 0.025 ,Palewater Global Management Inc.,-,IQTR567482103,Blank Checks (Primary),Operating Subsidiary
09/07/2017,"AFH Acquisition IX, Inc.",-,Merger/Acquisition,Closed, 0.75 ,Enrochem Limited,"AFH Holding & Advisory, LLC",IQTR536907367,Blank Checks (Primary),Operating Subsidiary
11/21/2016,"J.E.M. Capital, Inc.",-,Merger/Acquisition,Closed, 0.225 ,-,Zosano Pharma Corporation (NasdaqCM:ZSAN),IQTR410518684,Blank Checks (Primary),Operating Subsidiary
05/11/2016,Savden Group Corp.,-,Merger/Acquisition,Closed, 0.356 ,Sino Expertise Limited,-,IQTR337350762,Blank Checks (Primary),Operating Subsidiary
10/29/2015,Rosa Capital Inc.,-,Merger/Acquisition,Closed, 1.28 ,Raimount Energy Inc.,-,IQTR315534724,Blank Checks (Primary),Operating Subsidiary
08/19/2015,Starlight Supply Chain Management Company,-,Merger/Acquisition,Closed, 0.05 ,Best Dynamic Investment Limited; Crest Honor Limited; Merit Success International Limited; Peak Access Limited; Star Summit Group Limited,-,IQTR309607875,Blank Checks (Primary),Operating Subsidiary
07/31/2014,Strachan Resources Ltd.,-,Merger/Acquisition,Closed, 0.011 ,Lotus Ventures Inc. (CNSX:J),-,IQTR269479264,Blank Checks (Primary),Operating Subsidiary
04/23/2014,Unite Capital Corp.,-,Merger/Acquisition,Closed, 0.094 ,Lineage Grow Company Ltd.,-,IQTR262504211,Blank Checks (Primary),Operating Subsidiary
01/30/2014,"Premier Products Group, Inc. (OTCPK:PMPG)",OTCPK:PMPG,Merger/Acquisition,Closed, 0.74 ,"33, LLC","Coron Capital, LLC",IQTR255887608,Blank Checks,Operating Subsidiary
01/16/2014,Ukraine Energy LLC,-,Merger/Acquisition,Closed, 0.001 ,EFI Holding GmbH,EastCoal Inc. (TSXV:ECX.H); Gramsico Holdings Ltd.,IQTR254231587,Blank Checks (Primary),Operating Subsidiary
03/26/2013,HK Apollo Motors Corporation,-,Merger/Acquisition,Closed, 0.1 ,"Hybrid Kinetic Automotive Holdings, LLC","Sword Dancer, LLC",IQTR233656934,Blank Checks (Primary),Operating Subsidiary
11/16/2012,Century Acquisition Corp,-,Merger/Acquisition,Closed, 0.033 ,"Sword Dancer, LLC",Access America Investments L.L.C.,IQTR224379172,Blank Checks (Primary),Operating Subsidiary
11/16/2012,HK Apollo Motors Corporation,-,Merger/Acquisition,Closed, 0.033 ,"Sword Dancer, LLC",Access America Investments L.L.C.,IQTR224384889,Blank Checks (Primary),Operating Subsidiary
11/16/2012,Eastern Acquisition Corp,-,Merger/Acquisition,Closed, 0.033 ,"Sword Dancer, LLC",Access America Investments L.L.C.,IQTR224401147,Blank Checks (Primary),Operating Subsidiary
10/19/2012,Theron Resource Group,-,Merger/Acquisition,Closed, 0.283 ,-,-,IQTR223283234,Blank Checks (Primary),Operating Subsidiary
05/03/2012,"Premier Products Group, Inc. (OTCPK:PMPG)",OTCPK:PMPG,Merger/Acquisition,Closed, 0.385 ,-,"Coron Capital, LLC",IQTR206282587,Blank Checks,Operating Subsidiary
03/14/2012,DataSight Corporation,-,Merger/Acquisition,Closed, 0.095 ,-,-,IQTR182245624,Blank Checks (Primary),Operating Subsidiary
12/19/2011,"Bonanza One, Inc.",-,Merger/Acquisition,Closed, 0.05 ,"Sustainable Growth Group America, Inc.",-,IQTR144911669,Blank Checks (Primary),Operating Subsidiary
07/05/2011,"Ultimate Indoor Football League, Inc.",-,Merger/Acquisition,Closed, 0.03 ,Assured Equities IV Corporation,Assured Equities LLC,IQTR137023035,Blank Checks (Primary),Operating Subsidiary
05/25/2011,Jet Cheer Investments Ltd.,-,Merger/Acquisition,Closed, 0.007 ,Eternal City Investments Ltd.,-,IQTR133375373,Blank Checks (Primary),Operating Subsidiary
05/25/2011,"Dong Xin Chemical Co., Ltd.",-,Merger/Acquisition,Closed, 0.05 ,Overseas Faith Limited,-,IQTR133375933,Blank Checks (Primary),Operating Subsidiary
04/28/2011,Hinwin Development Limited,-,Merger/Acquisition,Closed, 15.37 ,Chiwan Wharf Holdings (H.K.) Ltd.,"China Merchants Shekou Industrial Zone Holdings Co., Ltd. (SZSE:001979)",IQTR130935695,Blank Checks (Primary),Operating Subsidiary
09/13/2010,Financial Payment Systems Limited,-,Merger/Acquisition,Closed, 0.245 ,West Star Group Inc.,-,IQTR113278690,Blank Checks (Primary),Operating Subsidiary
08/09/2010,"Greenrock Ventures, Inc.",-,Merger/Acquisition,Closed, 0.06 ,Pure Wind Energy Investments Limited; Carat Consulting & Trading Limited; Colierna Investments LTD.,-,IQTR112022708,Blank Checks (Primary),Operating Subsidiary
08/05/2010,Sino-American Net Media Corp.,-,Merger/Acquisition,Closed, 0.06 ,"Sino-American Holdings, Inc.",-,IQTR111400567,Blank Checks (Primary),Operating Subsidiary
07/19/2010,Penfold Capital Acquisition II Corporation,-,Merger/Acquisition,Closed, 0.053 ,Penfold Capital Acquisition III Corp,-,IQTR109592311,Blank Checks (Primary),Operating Subsidiary
03/05/2010,"Liberty Acquisition Holdings Virginia, Inc.",-,Merger/Acquisition,Closed," 1,468.18 ","Promotora de Informaciones, S.A. (BME:PRS)",Berggruen Acquisition Holdings Ltd.,IQTR99157165,Blank Checks (Primary),Operating Subsidiary
12/01/2009,"Stalar 4, Inc.",-,Merger/Acquisition,Closed, 0.062 ,"Abraxis BioScience, LLC",-,IQTR82243209,Blank Checks (Primary),Operating Subsidiary
12/01/2009,Stalar 3 Inc.,-,Merger/Acquisition,Closed, 0.062 ,-,-,IQTR83752446,Blank Checks (Primary),Operating Subsidiary
10/09/2009,"Darshan Equity Investment, Inc.",-,Merger/Acquisition,Closed, 0.01 ,Narayan Capital Funding Corp.,"Willowhuasca Wellness, Inc.",IQTR74935891,Blank Checks (Primary),Operating Subsidiary
09/04/2009,Bhakti Capital Corp.,-,Merger/Acquisition,Closed, 0.01 ,Narayan Capital Funding Corp.,"Willowhuasca Wellness, Inc.",IQTR62600347,Blank Checks (Primary),Operating Subsidiary
05/08/2009,Capital Equity Finance Inc.,-,Merger/Acquisition,Closed, 0.05 ,"Neurotech, Inc.",-,IQTR59080500,Blank Checks (Primary),Operating Subsidiary
04/05/2009,Cockleshell Limited,-,Merger/Acquisition,Effective, 82.18 ,Caribbean Investment Holdings Limited (AIM:CIHL),-,IQTR54629929,Blank Checks (Primary),Operating Subsidiary
03/12/2009,"Kamp-Rite Holdings, Inc.",-,Merger/Acquisition,Closed, 0.021 ,"USA Fabrics, Inc.","Enterprise Creations, LLC",IQTR54013043,Blank Checks (Primary),Operating Subsidiary
03/09/2009,"Asia Quest Ventures, Inc.",-,Merger/Acquisition,Closed, 0.04 ,"Green Bridge Industries, Inc., Prior to Merger with NXGEN Holdings, Inc.",-,IQTR54460236,Blank Checks (Primary),Operating Subsidiary
03/02/2009,"Rampart Studios, Inc.",-,Merger/Acquisition,Closed, 0.045 ,Rampart Capital Corporation,-,IQTR53968837,Blank Checks (Primary),Operating Subsidiary
02/12/2009,"Noble Medical Technologies, Inc.",-,Merger/Acquisition,Closed, 0.318 ,Trinad Management LLC,-,IQTR53030210,Blank Checks (Primary),Operating Subsidiary
02/12/2009,Lambolle Partners Limited,-,Merger/Acquisition,Closed, 1.88 ,SysGroup plc (AIM:SYS),Carstock Limited; Pentagon Sterling Satellite II Fund Limited,IQTR53030936,Blank Checks (Primary),Operating Subsidiary
08/06/2008,"Pop Starz Ventures 1, Inc.",-,Merger/Acquisition,Closed, 0.053 ,"CFO Advisory Group, Inc.",-,IQTR49794607,Blank Checks (Primary),Operating Subsidiary
07/08/2008,"Grace 3, Inc.",-,Merger/Acquisition,Closed, 0.03 ,"Broad Street Ventures, LLC",-,IQTR46611816,Blank Checks (Primary),Operating Subsidiary
06/30/2008,"BSN Systems, Inc.",-,Merger/Acquisition,Closed, 0.04 ,-,-,IQTR46458793,Blank Checks (Primary),Operating Subsidiary
01/03/2008,"Map IV Acquisition, Inc.",-,Merger/Acquisition,Closed, 0.025 ,"Highland Global Partners, Inc.",-,IQTR39835840,Blank Checks (Primary),Operating Subsidiary
06/20/2005,Greystone Research Corp.,-,Merger/Acquisition,Closed, 0.106 ,Javelin Energy Inc.,-,IQTR22797341,Blank Checks (Primary),Operating Subsidiary
06/06/2005,"Azur Holdings, Inc.",-,Merger/Acquisition,Closed, 0.55 ,"Azur International, Inc.",-,IQTR22595760,Blank Checks (Primary),Operating Subsidiary
10/10/2004,Aux (USA) Inc.,-,Merger/Acquisition,Closed, 0.29 ,ZhongTong Inc.,Centerline International Corp.,IQTR24605118,Blank Checks (Primary),Operating Subsidiary
09/30/2004,Aux (USA) Inc.,-,Merger/Acquisition,Closed, 0.05 ,Centerline International Corp.,-,IQTR24605045,Blank Checks (Primary),Operating Subsidiary
10/03/2001,World Services Inc,-,Merger/Acquisition,Closed, 1.87 ,Super 8 Motel Developers Inc,-,IQTR12188600,Blank Checks (Primary),Operating Subsidiary
08/14/2001,Parc Capital Corp.,-,Merger/Acquisition,Closed, 0.03 ,Cyber Vision Global Ventures Holdings Limited,-,IQTR49711186,Blank Checks (Primary),Operating Subsidiary
07/17/2000,"Transaction Verification Systems, Inc.",-,Merger/Acquisition,Closed, 1.96 ,"Orion Technologies, Inc.",-,IQTR9650066,Blank Checks,Operating Subsidiary
03/06/2000,MAS Acquisition XIX Corp.,-,Merger/Acquisition,Closed, 0.274 ,Serac Holdings Inc.,-,IQTR12391845,Blank Checks (Primary),Operating Subsidiary
02/22/2000,"Hancock Holdings, Inc.",-,Merger/Acquisition,Closed, 0.544 ,"Orion Technologies, Inc.",-,IQTR25726290,Blank Checks (Primary),Operating Subsidiary
04/23/2010,"Advanced Water Technology Holdings, Inc.",-,Merger/Acquisition,Closed, 0.03 ,"Advanced Water Technologies, Inc.","Willowhuasca Wellness, Inc.; Narayan Capital Funding Corp.",IQTR104432050,Blank Checks (Primary),Out of Business
11/13/2008,"Advanced Water Technology Holdings, Inc.",-,Merger/Acquisition,Closed, 0.01 ,Narayan Capital Funding Corp.,"Willowhuasca Wellness, Inc.",IQTR50954292,Blank Checks (Primary),Out of Business
12/12/2007,Penmc plc,-,Merger/Acquisition,Closed, 0.38 ,CBG Group plc,-,IQTR39456513,Blank Checks (Primary),Out of Business
